id,name,sku,price,currency,variations,quantity,status
61,أقراط الياقوت,Test,1500,SAR,,92,sale
62,خاتم الزمرد,,NULL,SAR,,NULL,hidden
63,حذاء دولتشي & قابانا,,290,SAR,,95,sale
64,حذاء كريستيان لوبوتان,,300,SAR,,82,sale
65,حذاء رالف & روسو,,540,SAR,,96,sale
70,حقيبة يد إيف سان لوران,,304,SAR,,97,sale
71,حقيبة يد فندي,,1200,SAR,,97,sale
73,ON أمينو انرجي,,120,SAR,"[{""name"":""\u0627\u0644\u062d\u062c\u0645"",""value"":""\u0663\u0660 \u062c\u0631\u0639\u0647""},{""name"":""\u0627\u0644\u0646\u0643\u0647\u0647"",""value"":""\u0627\u0644\u062a\u0648\u062a \u0627\u0644\u0623\u0632\u0631\u0642, \u0627\u0644\u0641\u0648\u0627\u0643\u0647, \u0627\u0644\u0639\u0646\u0628""}]",7,sale
75,Now sports ارجنين,,150,SAR,"[{""name"":""\u0627\u0644\u062d\u062c\u0645"",""value"":""\u0661 \u0628\u0627\u0648\u0646\u062f""}]",3,sale
78,بيتا-الانين BSN,,80,SAR,"[{""name"":""\u0627\u0644\u0646\u0643\u0647\u0647"",""value"":""\u0628\u062f\u0648\u0646""},{""name"":""\u0627\u0644\u062c\u0631\u0639\u0627\u062a"",""value"":""\u0667\u0665""}]",2,sale
79,"Cellucore سي فور-ريبد ""بور بدون كرياتين""",,160,SAR,"[{""name"":""\u0627\u0644\u062c\u0631\u0639\u0627\u062a"",""value"":""\u0663\u0660""},{""name"":""\u0627\u0644\u0646\u0643\u0647\u0647"",""value"":""\u0627\u0644\u0643\u0631\u0632, \u0627\u0644\u0641\u0648\u0627\u0643\u0647""}]",4,sale
80,Dymatize أمينو 6000,,135,SAR,"[{""name"":""\u0627\u0644\u062d\u062c\u0645"",""value"":""\u0665\u0660\u0660 \u062d\u0628\u0647""}]",3,sale
81,Muscletech Amino build next gen energized,,135,SAR,"[{""name"":""\u0627\u0644\u062d\u062c\u0645"",""value"":""\u0663\u0660 \u062c\u0631\u0639\u0647""},{""name"":""\u0627\u0644\u0646\u0643\u0647\u0647"",""value"":""\u0627\u0644\u062a\u0648\u062a \u0627\u0644\u0623\u0632\u0631\u0642, \u0627\u0644\u0641\u0648\u0627\u0643\u0647""}]",2,sale
82,Dymatize أيزو-100,,355,SAR,"[{""name"":""\u0627\u0644\u062d\u062c\u0645"",""value"":""\u0665 \u0628\u0627\u0648\u0646\u062f""},{""name"":""\u0627\u0644\u0646\u0643\u0647\u0647"",""value"":""\u0627\u0644\u0634\u0648\u0643\u0648\u0644\u0627\u062a\u0647""}]",4,sale
83,Muscletech ميشن 1,,12,SAR,"[{""name"":""\u0627\u0644\u0646\u0643\u0647\u0647"",""value"":""\u0634\u0648\u0643\u0648\u0644\u0627\u062a\u0647 \u0628\u0631\u0627\u0648\u0646\u064a""}]",24,sale
84,Scivation بي سي اي اي اكستند,,150,SAR,"[{""name"":""\u0627\u0644\u062d\u062c\u0645"",""value"":""\u0663\u0660 \u062c\u0631\u0639\u0647""},{""name"":""\u0627\u0644\u0646\u0643\u0647\u0647 "",""value"":""\u0639\u0646\u0628""}]",3,sale
90,Nutrex ليبو6 الترا,,155,SAR,,12,sale
98,Nutrex ليبو6 الترا للرجال,,155,SAR,,10,sale
104,Muscletech ميكرونيزد جلوتامين,,80,SAR,"[{""name"":""\u0627\u0644\u062d\u062c\u0645"",""value"":""\u0663\u0660\u0660 \u062c\u0631\u0627\u0645""},{""name"":""\u0627\u0644\u0646\u0643\u0647\u0647"",""value"":""\u0628\u062f\u0648\u0646""}]",3,sale
105,ابل تي في الاصدار 4,,649,SAR,,2,sale
119,جراب ايفون 5 ,,79,SAR,,6,sale
122,تعليقه,sku2,25,SAR,,1,sale
123,براد مع تلبيسه,,190,SAR,,1,sale
125,براد مع تلبيسه,,190,SAR,,1,sale
126,براد مع تلبيسه,,190,SAR,,1,sale
127,براد مع تلبيسه,,190,SAR,,1,sale
129,براد مع تلبيسه,,190,SAR,,1,sale
130,تلبيسه ترمس نصف لتر,,145,SAR,,1,sale
131,تلبيسه كوب,,45,SAR,,1,sale
133,بيالات شاي مع تلبيسه,,90,SAR,,6,sale
135,براد شاي مع تلبيسه,,190,SAR,,1,sale
136,اساور,,6,SAR,,1,sale
141,بيالات شاي مع صينيه,,110,SAR,,1,sale
142,أساور كروشيه,,25,SAR,,1,sale
143,أساور كروشيه,,25,SAR,,1,sale
163,حلقوم تركي بنكهة الكراميل,,65,SAR,,4,sale
166,تشوكليت الهدية بحجم 800 غرام تغليف ابيض سكري,,120,SAR,,2,sale
167,تشوكليت الهدية بحجم 800 غرام تغليف فضي,,120,SAR,,1,sale
168,تشوكليت ودارك تشوكليت بعلبه معدنية,,60,SAR,,12,sale
169,تشوكليت منوع تركي,,75,SAR,,2,sale
171,تشوكليت ودارك تشوكليت بعلبه معدنية,,60,SAR,,11,sale
173,تشوكليت مميز بوكس بني ,,75,SAR,,5,sale
175,تشوكليت منوع تركي,,75,SAR,,5,sale
176,تشوكليت الهدية بحجم 800 غرام ,,120,SAR,,6,sale
177,تشوكليت منوع مميز بوكس بني,,75,SAR,,5,sale
178,تشوكليت منوعة تركيه بوكس اسود,,75,SAR,,3,sale
180,تشوكليت ودارك تشوكليت بعلبه معدنية,,60,SAR,,10,sale
181,حلويات قواقع,,65,SAR,,0,out
183,بدلة من ثلاث قطع ,,69,SAR,,2,sale
189,بلوزه و تنوره ملونه ,,179,SAR,,2,sale
190,بلوزه و تنوره وردي,,69,SAR,,2,sale
203,code 209,,65,SAR,"[{""name"":""نوع الجهاز "",""value"":""Iphone 6, iphone 6s, iphone 6 plus, iphone 6s plus, iphone 5, iphone 5s, ipad mini, Galaxy S4, Galaxy S5, Galaxy S6, Galaxy S6 EDGE, Note 3, Note 4, Note 5""}]",5,sale
